StudyYear	Code	Births	BirthSchool	Rate	trt	year	interaction	Pop
2016.0	430040	858	761.0	10.929797	0.0	1.0	0.0	78244
2014.0	430045	37	32.0	8.830549	0.0	0.0	0.0	4190
2016.0	430045	38	31.0	9.189843	0.0	1.0	0.0	4085
2014.0	430047	22	15.0	10.481181	0.0	0.0	0.0	2099
2016.0	430047	22	18.0	10.5162525	0.0	1.0	0.0	2085
2014.0	430050	72	50.0	9.279547	0.0	0.0	0.0	7759
2016.0	430050	72	56.0	9.420384	0.0	1.0	0.0	7533
2014.0	430055	14	14.0	7.6045628	0.0	0.0	0.0	1841
2016.0	430055	15	15.0	8.187773	0.0	1.0	0.0	1815
2014.0	430057	26	16.0	8.606421	0.0	0.0	0.0	3021
2016.0	430057	32	27.0	10.564543	0.0	1.0	0.0	3032
2014.0	430060	3419	2315.0	16.62283	0.0	0.0	0.0	205681
2016.0	430060	3330	2595.0	16.121067	0.0	1.0	0.0	207392
2014.0	430063	61	39.0	9.053131	0.0	0.0	0.0	6738
2016.0	430063	55	41.0	8.116883	0.0	1.0	0.0	6817
2014.0	430064	73	50.0	9.652254	0.0	0.0	0.0	7563
2016.0	430064	69	50.0	9.117336	0.0	1.0	0.0	7573
2014.0	430066	11	8.0	8.573655	0.0	0.0	0.0	1283
2016.0	430066	11	9.0	8.513932	0.0	1.0	0.0	1300
2014.0	430070	41	24.0	6.5789475	0.0	0.0	0.0	6232
2016.0	430070	59	51.0	9.477912	0.0	1.0	0.0	6216
